Model,AIC,BIC
auto.arima,13812.194087525328,13825.702457663074
"ARIMA(0,d,1)(0,D,1)[m]",13972.55111933427,13990.562279517933
"ARIMA(1,d,0)(0,D,1)[m]",13814.161761146668,13832.172921330332
"ARIMA(1,d,1)(0,D,1)[m]",13815.475915186826,13837.989865416404
"ARIMA(0,d,1)(1,D,1)[m]",13959.840766392637,13982.354716622216
