Model,AIC,BIC
auto.arima,5382.732896149305,5390.023789944591
"ARIMA(0,d,1)",5382.732896149305,5390.023789944591
"ARIMA(1,d,0)",5476.214693733583,5483.505587528869
"ARIMA(1,d,1)",5384.553982192726,5395.490322885656
"ARIMA(2,d,0)",5455.168861460938,5466.105202153868
"ARIMA(2,d,1)",5386.496647964412,5401.078435554985
